"EMPS_COD";"FILI_COD";"TP_LOC";"INFST_SERIE";"INFST_NUM";"INFST_DTEMISS";"CADG_COD";"SERV_COD";"INFST_DSC_COMPL";"INFST_VAL_SERV";"INFST_ALIQ_ICMS";"INFST_BASE_ICMS";"INFST_VAL_ICMS";"INFST_NUM_SEQ";"INFST_IND_CANC"
"TBRA";"1";"5";"C";"1";"01/01/2018";"AT0323799303";"1570";"Servi¿os Contratados Vivo M¿vel";"31,99";"25";"31,99";"0";"1";"N"
"TBRA";"1";"5";"C";"2";"01/01/2018";"AT0204243577";"1570";"Servi¿os Contratados Vivo M¿vel";"48,99";"25";"48,99";"0";"1";"N"
"TBRA";"1";"5";"C";"3";"01/01/2018";"AT0277506564";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"N"
"TBRA";"1";"5";"C";"4";"01/01/2018";"AT0227904221";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"N"
"TBRA";"1";"5";"C";"5";"01/01/2018";"AT0287137098";"1570";"Servi¿os Contratados Vivo M¿vel";"60,98";"25";"60,98";"0";"1";"N"
"TBRA";"1";"5";"C";"6";"01/01/2018";"AT0246932480";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"N"
"TBRA";"1";"5";"C";"7";"01/01/2018";"AT0142129575";"1570";"Servi¿os Contratados Vivo M¿vel";"48,99";"25";"48,99";"0";"1";"N"
"TBRA";"1";"5";"C";"8";"01/01/2018";"AT0245427166";"1570";"Servi¿os Contratados Vivo M¿vel";"63,99";"25";"63,99";"0";"1";"N"
"TBRA";"1";"5";"C";"9";"01/01/2018";"AT0255364686";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"N"
"TBRA";"1";"5";"C";"10";"01/01/2018";"AT0250001291";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"N"
"TBRA";"1";"5";"C";"11";"01/01/2018";"AT0275711528";"1570";"Servi¿os Contratados Vivo M¿vel";"63,99";"25";"63,99";"0";"1";"N"
"TBRA";"1";"5";"C";"12";"01/01/2018";"AT0200776776";"1570";"Servi¿os Contratados Vivo M¿vel";"31,99";"25";"31,99";"0";"1";"N"
"TBRA";"1";"5";"C";"13";"01/01/2018";"AT0289042654";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"N"
"TBRA";"1";"5";"C";"14";"01/01/2018";"AT2118876035";"1570";"Servi¿os Contratados Vivo M¿vel";"31,99";"25";"31,99";"0";"1";"N"
"TBRA";"1";"5";"C";"15";"01/01/2018";"AT2144812441";"1570";"Servi¿os Contratados Vivo M¿vel";"83,99";"25";"83,99";"0";"1";"N"
"TBRA";"1";"5";"C";"16";"01/01/2018";"AT0238957942";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"N"
"TBRA";"1";"5";"C";"17";"01/01/2018";"AT0269916319";"1570";"Servi¿os Contratados Vivo M¿vel";"48,99";"25";"48,99";"0";"1";"N"
"TBRA";"1";"5";"C";"18";"01/01/2018";"AT0272664208";"1570";"Servi¿os Contratados Vivo M¿vel";"46,98";"25";"46,98";"0";"1";"N"
"TBRA";"1";"5";"C";"19";"01/01/2018";"AT2139451891";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"N"
"TBRA";"1";"5";"C";"20";"01/01/2018";"AT0227200119";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"S"
"TBRA";"1";"5";"C";"21";"01/01/2018";"AT0265729896";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"S"
"TBRA";"1";"5";"C";"22";"01/01/2018";"AT0205520816";"1570";"Servi¿os Contratados Vivo M¿vel";"48,99";"25";"48,99";"0";"1";"S"
"TBRA";"1";"5";"C";"23";"01/01/2018";"AT0241815735";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"S"
"TBRA";"1";"5";"C";"24";"01/01/2018";"AT0320615550";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"S"
"TBRA";"1";"5";"C";"25";"01/01/2018";"AT0206774899";"1570";"Servi¿os Contratados Vivo M¿vel";"29,99";"25";"29,99";"0";"1";"S"
"TBRA";"1";"5";"C";"26";"01/01/2018";"AT0216355982";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"S"
"TBRA";"1";"5";"C";"27";"01/01/2018";"AT0255112462";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"S"
"TBRA";"1";"5";"C";"28";"01/01/2018";"AT0270461312";"1570";"Servi¿os Contratados Vivo M¿vel";"31,99";"25";"31,99";"0";"1";"S"
"TBRA";"1";"5";"C";"29";"01/01/2018";"AT0281189273";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"S"
"TBRA";"1";"5";"C";"30";"01/01/2018";"AT0256405450";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"S"
"TBRA";"1";"5";"C";"31";"01/01/2018";"AT0258188892";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"S"
"TBRA";"1";"5";"C";"32";"01/01/2018";"AT0200818419";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"S"
"TBRA";"1";"5";"C";"33";"01/01/2018";"AT0225148608";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"S"
"TBRA";"1";"5";"C";"34";"01/01/2018";"AT0296286746";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"S"
"TBRA";"1";"5";"C";"35";"01/01/2018";"AT0236228394";"1570";"Servi¿os Contratados Vivo M¿vel";"37,99";"25";"37,99";"0";"1";"S"
"TBRA";"1";"5";"C";"36";"01/01/2018";"AT2142784005";"1570";"Servi¿os Contratados Vivo M¿vel";"63,99";"25";"63,99";"0";"1";"S"
"TBRA";"1";"5";"C";"37";"01/01/2018";"AT0276174350";"1570";"Servi¿os Contratados Vivo M¿vel";"51,97";"25";"51,97";"0";"1";"S"
